,regio1,serviceCharge,heatingType,telekomTvOffer,telekomHybridUploadSpeed,newlyConst,balcony,picturecount,pricetrend,telekomUploadSpeed,totalRent,yearConstructed,scoutId,noParkSpaces,firingTypes,hasKitchen,geo_bln,cellar,yearConstructedRange,baseRent,houseNumber,livingSpace,geo_krs,condition,interiorQual,petsAllowed,street,streetPlain,lift,baseRentRange,typeOfFlat,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,garden,livingSpaceRange,regio2,regio3,description,facilities,heatingCosts,energyEfficiencyClass,lastRefurbish,electricityBasePrice,electricityKwhPrice,date,americanArea,condition_num
147,Nordrhein_Westfalen,220.0,gas_heating,ONE_YEAR_FREE,,False,True,6,5.32,40.0,1320.0,1988.0,112538594,1.0,gas,False,Nordrhein_Westfalen,True,4.0,1100.0,,130.0,Münster,refurbished,sophisticated,no,no_information,,False,7,apartment,48153,3.5,,1.0,2.0,3,False,6,Münster,Josefsviertel,"Die Wohnung liegt in der 1.Etage eines 2-Familienhauses wurde in 2019 komplett saniert. WC und Gäste WC, so wie Fenster und Zimmertüren ( weißes Holz ) wurden ebenso erneuert. KFZ-Fahrradstellplatz ist vorgesehen. Kabelfernsehen und Internet installiert","Die Austattung des WCs und Gäste -WC sind mit weißen Fliesen ausgestattet. Böden jeweils in athrazit gefliest. Wohn-und Esszimmer, Flur in Echtholzparkett Eiche. Der Küchenboden ist gefliest.Schlafzimmer und Arbeitszimmer liegt Laminat. Großer Balkon in Südrichtung mit elektrischer Markiese.Video-Anlage an der Haustür",,,2019.0,,,Oct19,1399.307,4.0
148,Nordrhein_Westfalen,80.0,central_heating,,,False,True,9,1.43,,470.0,1976.0,80319316,1.0,oil,True,Nordrhein_Westfalen,True,3.0,390.0,4,33.0,Münster,well_kept,normal,negotiable,Zur Gr&auml;fte,Zur_Gräfte,False,2,apartment,48163,1.5,,3.0,3.0,1,False,1,Münster,Nienberge,"Sehr schönes, helles Apartment in der 3. Etage einer grossen Eigentumsanlage gelegen, mit grossem Balkon in Südwestausrichtung und schöner Aussicht. Zum Objekt gehört ein Stellplatz direkt vor der Haustür. Frisch gestrichen und bezugsfertig. Die Bilder stellen den bewohnten Zustand dar, die Wohnung ist zum Vermietungsstart unmöbliert, bis auf Einbauküche, Lampen in den Räumen; Spiegelschrank im Bad und  dem im Flur befindlichen Einbauschrank. Diese Gegenstände  sind Bestandteil der Mietsache.","Grosser heller Wohn-, Schlafraum mit Zugang zum ca. 6 qm grossen Balkon / Loggia mit Terrasse. Eine Einbauküchenzeile ca. 2 Meter (sep. Raum), Flur mit großem Einbauschrank; Bad mit Dusche; Tür- Sprechanlage, Warmwasserzentralversorgung, 14qm Kellerraum und sep. Waschplatz / Trockenraum im Gemeinschaftskeller.",,,,,,Oct19,355.2087,0.0
149,Nordrhein_Westfalen,190.0,oil_heating,ONE_YEAR_FREE,,False,True,8,5.9,40.0,885.0,1974.0,110303035,1.0,oil,True,Nordrhein_Westfalen,True,3.0,695.0,10a,100.0,Münster,modernized,sophisticated,,Drostenhofstrasse,Drostenhofstrasse,False,5,apartment,48167,3.0,,1.0,1.0,3,False,4,Münster,Wolbeck,"Die moderne Etagenwohnung liegt im 1.OG eines 2-Familienhaus in Wolbeck und bietet auf ca. 100m² / 3 Zimmern + separater Küche, Bad und Abstellraum viel Platz für Sie. Alle 3 großzügig geschnittenen Zimmer lassen viel Helligkeit hinein und sind außerdem mit Parkett ausgestattet für ein angenehmes Wohngefühl. Ein weiteres Highlight ist das modern geflieste Tageslichtbad welches neben einer Badewanne noch über eine separate Dusche verfügt. Sollten Sie mal keine Zeit in der Wohnung verbringen wollen können Sie auch noch den zum Garten gelegenen Südbalkon nutzen welcher den ganzen Tag über Sonne bietet. Eine wirklich tolle Wohnung - Anschauen lohnt sich!","Modern gefliestes Tageslichtbad mit Badewanne und separater Dusche Parkett in allen Räumen (Fliesen in Bad + Küche) Abstellraum Keller Für Ihre Fahrräder kann der hauseigene, abschließbare Fahrradschuppen genutzt werden und für Ihr Auto können Sie optional direkt vor dem Haus einen Stellplatz anmieten.",,,2012.0,,,May19,1076.39,1.0
150,Nordrhein_Westfalen,500.0,,ONE_YEAR_FREE,10.0,False,False,10,4.38,2.4,1900.0,1955.0,114670215,,pellet_heating,False,Nordrhein_Westfalen,False,2.0,1400.0,,138.0,Münster,well_kept,,,no_information,,False,7,terraced_flat,48157,3.0,97.6,,,3,True,6,Münster,Sprakel,"Die angebotene 3-Zimmer-Wohnung befindet sich in einem 3-Parteien-Haus auf einem liebevoll angelegten Anwesen in den Rieselfeldern von Münster. Hinsichtlich Lage, Art und Ausstattung ist dieses Objekt etwas ganz Besonderes. Die 138 m² große Wohnung wurde unter Verwendung von hochwertigen Materialien in einem ehemaligen Bauernhaus geschaffen. Der hochwertige Fußboden in Verbindung mit den vielen Fenstern und das offene Raumkonzept verleihen der Wohnung einen besonderen Charakter. Die große Westterrasse lädt zum Aufenthalt im Freien ein. Die Wohnung ist für anspruchsvolle Singles oder Paare geeignet. Man betritt die Wohnung und gelangt in den zentralen Wohn-/Essbereich. Links der Eingangstür geht es in das Schlafzimmer. Der Wohn-/Essbereich erstreckt sich vom Süden bis zum Westen. Durch die großen Fenstertüren gehen hier „Innen und Außen“ harmonisch ineinander über. Dem Wohn-/Essbereich vorgelagert befindet sich die großzügige Terrasse. Die offene und mit einem Küchenblock versehene Küche ist mit hochwertigen Elektrogeräten - bis hin zum Weinkühlschrank – ausgestattet. Eine Treppe führt in das Obergeschoss. Der als Galerie gestaltete Raum verfügt über einen freistehenden Kaminofen und bietet vielfältige Nutzungsmöglichkeiten. Sämtliche Wohnbereiche sind mit südamerikanischen Walnussparkett ausgestattet. Reichlich Stauraum bieten die diversen Einbauschränke u.a. unterhalb der Treppe ins Obergeschoss. Das moderne Bad mit Natursteinböden aus Granit umfasst Badewanne und ebenerdige Dusche. Abgegrenzt befindet sich hier der Bereich für Waschmaschine und Trockner sowie Hauswirtschaftsutensilien. Die großen Fensterflächen verströmen viel Licht und gewähren einen Blick in das schön angelegte Anwesen inmitten der Rieselfelder. Das Anwesen ist mit einem elektrischen Tor nach außen hin abgeschirmt. Die Tor- und Türöffnung erfolgt komfortabel über eine Sprech- und Videoanlage. Sicherheit bietet die installierte Alarmanlage. Neben der eigenen Terrasse stehen auch die Gemeinschaftsflächen zur Nutzung bereit. Im Keller steht eine kleine Abstellfläche zur Verfügung. Das Auto kann auf dem zur Wohnung gehörenden Außenstellplatz abgestellt werden.",,,NO_INFORMATION,,,,Feb20,1485.4181999999998,0.0
151,Nordrhein_Westfalen,220.0,self_contained_central_heating,ONE_YEAR_FREE,10.0,False,False,0,4.92,10.0,880.0,,113850383,1.0,,True,Nordrhein_Westfalen,True,,660.0,9,55.0,Münster,,,negotiable,Euthymiaplatz,Euthymiaplatz,True,5,apartment,48413,2.0,,2.0,3.0,2,False,2,Münster,Domviertel,"Bei dieser ansprechenden Immobilie handelt es sich um eine Wohnung in der zweiten Etage, die ab sofort bezogen werden kann. Zu der Wohnung zählen zwei hübsche Zimmer mit bodentiefen Fenstern mit französischen Balkons, Parkettboden und Fließen sowie ein Bad/Dusche/Waschmaschine. Die Immobilie ist barrierefrei und lässt sich bequem über einen Fahrstuhl erreichen. Ihnen stehen außerdem eine Einbauküche sowie ein Stellplatz für Ihr Auto und ein Kellerraum zur Verfügung. Einbauten und Möbel können übernommen werden.",,,,,,,Oct19,592.0145,3.0
152,Nordrhein_Westfalen,310.0,floor_heating,ONE_YEAR_FREE,,True,True,27,5.94,40.0,2000.0,2018.0,108893127,1.0,district_heating,False,Nordrhein_Westfalen,True,9.0,1690.0,72,130.29,Münster,first_time_use,,yes,Steinfurter Stra&szlig;e,Steinfurter_Straße,True,8,apartment,48149,4.0,54.0,,,4,False,6,Münster,Neutor,"Yorkhöfe - Neubau - Erstbezug Diese Wohnung (4. OG) ist barrierefrei zu erreichen und verfügt mit ihren vier Zimmern über ca. 130,29 m² Wfl., inkl. Küche, Bad, Gäste-WC und Flur. Mit dem Aufzug gelangen Sie in alle Etagen, auch in die Tiefgarage und zu Ihrem eigenen Kellerabteil. Genießen Sie die zentrale Lage, die gute Ausstattung und den Neubaukomfort. Vom Vermieter gesucht werden ruhige und solvente Mieter (berufstätig oder in Rente). - WG mit berufstätigem Bürgen nach Absprache möglich - Haustierhaltung nach Absprache möglich Ausstattung: - Großzügige Dachterrasse (ca. 34 m²) - Bad mit Dusche, Wanne und Fenster - Gäste-WC mit Fenster und WM-Anschluss - Personenaufzug / Haustürklingelanlage mit Videokamera - Fußbodenheizung mit Einzelraumsteuerung - Kunststofffenster - 3-fach verglast mit elektr. Rollläden - Parkett Eiche (Wohnen / Schlafen) und Feinsteinzeugfliesen (Bad, Flur, G-WC, Küche) - Verputzte Wände - bereits gestrichen - Automatische Raumlüftung in den Wohn- und Schlafzimmern - Kabelanschluss (Kosten in der Warmmiete bereits enthalten) - Diverse Fahrradabstellbereiche und eigenes Kellerabteil mit Stromanschluss - TG-Stellplatz (80,- €) optional anmietbar Gerne vereinbaren wir einen unverbindlichen Besichtigungstermin. Eine Courtage fällt für Sie nicht an. Die Wohnungen sind bezugsfertig und Sie können sofort oder zu einem späteren Zeitpunkt einziehen.",,,B,,,,May19,1402.4285309999998,5.0
153,Nordrhein_Westfalen,300.0,central_heating,ONE_YEAR_FREE,,False,True,23,4.1,40.0,1605.0,,115454307,1.0,gas,False,Nordrhein_Westfalen,False,,1215.0,,89.3,Münster,mint_condition,luxury,,no_information,,True,7,maisonette,48149,2.5,79.0,1.0,3.0,2,False,4,Münster,Schloßbezirk,"Sie möchten hell, modern und repräsentativ Wohnen? Dann ist diese schicke Maisonettewohnung im Erd- sowie 1.Obergeschoss, am Aasee, genau das Richtige für Sie! Die Wohnung befindet sich gegenüber von den Aaseeterrassen und überzeugt durch eine hochwertige sowie offene Bauweise. Eine gehobene Wohnanlage gepaart mit einer hellen und großzügigen Architektur machen diese Wohnung zu einem absoluten Highlight. Vor allem die Helligkeit der Wohnung wird Sie begeistern - diese sorgt für ein angenehmes Wohnambiente. Die großen Fensterfronten lassen einen schönen Blick ins Grüne der Westseite  zu. Die Wohnungseingangstür befindet sich im 1.Obergeschoss. Sie gelangen von hier direkt in die offen gestaltete, moderne Küche mit angrenzendem Balkon, sowie den Essbereich. Über den Flur gelangen Sie in das Schlafzimmer, welches ebenfalls mit einem Balkon versehen ist. Das WC  mit angrenzendem Duschbereich ist vom Flur, sowie vom Schlafzimmer aus zu erreichen. Des Weiteren ist im 1.OG noch  ein praktischer Abstellraum vorhanden. Im Erdgeschoss befindet sich der großzügige Wohnbereich. Hier haben Sie genügend Raum für gesellige Abende mit Freunden & Bekannten. Die eigene Terrasse bietet Ihnen die Möglichkeit die Sonne zu genießen und die Abende entspannt ausklingen zu lassen. Der einheitliche sowie hochwertige Parkettboden sorgt für ein gemütliches Ambiente und unterstreicht den Charme der Wohnung. Des Weiteren steht Ihnen ein separater Kellerraum und ein Tiefgaragen-Stellplatz für Ihr Auto zur Verfügung. Lassen Sie sich bei einer Besichtigung von der individuellen Raumgestaltung  überzeugen! Mobilnummer: 0176/55107385",- Mobilnummer: 0176/55107385 - Adresse: Annette-Allee 10 - Warmmiete: 1.605 € inkl. Stellplatz - frei ab 01.12.2019 - Wohnung über 2 Etagen - direkte Aaseelage zur Westseite - schöner Blick ins Grüne - helle Wohnräume - nur ein Schlafzimmer - WC + Duschbad - zwei Balkone im 1.OG - 1 Terrasse im EG - Abstellraum für  Sitzpolster - Aufzug in alle Etagen -  große Fenster mit Raffstoren - Parkettboden -  separater Kellerraum - Tiefgaragenstellplatz 90€ (Privatgarage im Parkhaus),,C,,,,Feb20,961.21627,6.0
154,Nordrhein_Westfalen,130.0,central_heating,ONE_YEAR_FREE,,True,True,4,5.86,40.0,1045.0,2018.0,58985847,1.0,gas,False,Nordrhein_Westfalen,True,9.0,800.0,46a,88.9,Münster,first_time_use,sophisticated,no,Carossastr.,Carossastr.,False,5,apartment,48161,3.0,,2.0,3.0,3,False,4,Münster,Roxel,Die Immobilie befindet sich in einem reinem Wohngebiet. In dem neuen Vierfamilienhaus von 2018 wird die Obergeschoss-Wohnung links vermietet. Es ist neben dem Privatkeller ein gemeinschaftlicher Wasch-/Trockenkeller vorhanden.,"Die Wohnung wird unrenoviert mit weißlicher, ungestrichener Raufasertapete vermietet. Bei Mietende ist die Wohnung unrenoviert und mit weißlicher Raufasertapete zurück zu geben. Bodenbelag: Wohnen, Schlafen = Vinyl, hellbraun; Flur/Bad/Küche = Fliesen, grau",90.0,,2018.0,90.76,0.1915,Sep18,956.91071,5.0
155,Nordrhein_Westfalen,130.0,,ONE_YEAR_FREE,,False,True,6,4.17,40.0,550.0,1997.0,115660865,,,True,Nordrhein_Westfalen,False,5.0,420.0,37b,24.0,Münster,first_time_use_after_refurbishment,normal,no,Neuheim,Neuheim,False,3,half_basement,48155,1.0,,0.0,0.0,1,True,1,Münster,Mauritz_Ost,Es handelt sich um eine – in 2020 umfassend renovierte – Souterrainwohnung (22 m²) im beliebten Mauritz-Vierteil in ruhiger Lage mit teils überdachter Terrasse (18 m²) sowie alleiniger Gartennutzung (etwa 80 m²). Die Wohnung befindet sich in einem Einfamilienhaus mit insgesamt nur zwei Parteien. Zur Verfügung steht ein großes Wohnzimmer. Die schöne Terrasse mit Blick in den Garten ist von dort aus zugänglich.,"Die Wohnung wird mit einer Einbauküche, im Übrigen unmöbliert, vermietet. Die Terrasse lädt zu schönen Sommerabenden ein.",,,2020.0,,,Feb20,258.3336,3.0
156,Nordrhein_Westfalen,90.0,gas_heating,ONE_YEAR_FREE,,False,True,21,6.56,40.0,940.0,1953.0,111320177,,gas,False,Nordrhein_Westfalen,True,2.0,850.0,,63.0,Münster,first_time_use,sophisticated,no,no_information,,False,6,roof_storey,48153,2.0,,4.0,4.0,2,False,3,Münster,Josefsviertel,"DG-Wohnung im vierten Stock mit gehobener Innenausstattung. 2 Zimmer (Wohn-Esszimmer mit offener Küche; Schlafzimmer zur Rückseite und Blick Richtung Innenstadt), Diele; Tageslichtbad mit Dusche; Loggia in Südausrichtung und Blick über die Dächer des Josephsviertels.",Heller Dachausbau mit neuester technischer Einrichtung und zeitgemässen Materialien. Elektr. Rollläden und Jalousien; Wärmedämmung.  Anschluss für WaMa und Trockner im Bad. Eigener Kellerraum. Etagengastherme. Zentraler Satellitenschüsselanschluss. Fliesen im Bad; Vinylfussboden im Wohn-Eßbereich wird derzeit verlegt.,,,,,,May19,678.1256999999999,5.0
157,Nordrhein_Westfalen,290.0,floor_heating,ONE_YEAR_FREE,,False,True,28,4.52,40.0,2090.0,2017.0,113186487,1.0,natural_gas_light,True,Nordrhein_Westfalen,True,9.0,1700.0,,111.0,Münster,mint_condition,sophisticated,no,no_information,,True,8,penthouse,48149,4.0,52.7,3.0,3.0,4,False,5,Münster,Schloßbezirk,"In bevorzugter Wohnlage von Münster, als Teil der neuen Quartiersbebauung ""Sentruper Tor"" befindet sich dieses exklusive Penthouse in einer der Stadtvillen. Das Penthouse wirkt durch die bodentiefen Fenster und teilweise vollverglasten Bereiche großzügig und einladend hell. Die offene Küche ist mit einer hochwertigen Einbauküche inkl. Elektrogeräten ausgestattet. Der vorteilhafte Schnitt der Wohnung vereint das gemeinsame Leben und bietet auch gute Rückzugsorte. Die an 2 Seiten Wohnungsumfassende, großzügige Dachterrasse mit der Brüstung aus Milchglas sorgt für maximale Transparenz. Die Wohnung  ist über einen Aufzug ebenerdig erreichbar. Die Tiefgarage lässt sich ebenfalls direkt von der Stadtvilla aus, über das Treppenhaus oder den Fahrstuhl erschließen.","Die Wohnung ist mit hochwertigen Materialien ausgestattet. Durch lichtgrau-beige, großflächige Bodenfliesen mit einer Holzmaserungsoptik und dem weiß gestrichenen Vlies der Wandflächen wird die Helligkeit der Räume unterstützt. Dieses Konzept wird auch im Bad fortgesetzt. Die Dusche ist bodengleich gefliest und hatt eine Glasabtrennung. Die Wandflächen werden hier mit einer champagnerfarbenen Fliese ausgestattet. Durch weiße Sanitärobjekte, einen Handtuchwärmekörper, einen Kristallspiegel und verchromte Armaturen wird der exklusive und moderne Wohncharakter abgerundet. Zur Verschattung und Verdunkelung der großzügigen Glasflächen sind elektronisch zu bedienende Raff- Store Anlagen installiert worden.",100.0,A,,,,Oct19,1194.7929,6.0
158,Nordrhein_Westfalen,150.0,floor_heating,ONE_YEAR_FREE,,True,False,13,5.28,40.0,1350.0,2018.0,107248438,1.0,geothermal,True,Nordrhein_Westfalen,True,9.0,1200.0,16,80.0,Münster,mint_condition,sophisticated,,Bischopinkstrasse,Bischopinkstrasse,False,7,maisonette,48151,2.0,,2.0,2.0,2,False,3,Münster,Aaseestadt,"Helle Maisonette in Aasee-Nähe. Die Wohnung besticht durch einen offenen Grundriss, helle Räume und gute Ausstattung. Der Neubau wurde 2018 fertiggestellt und 2019 bezogen. Die Wohnung ist hochwertig und modern ausgestattet: So sind etwa Eichendielenparkett und moderne Sanitärausstattung sowie eine zentrale Lüftungsanlage und Fußbodenheizung zu nennen. Sprechanlage und Kellerraum mit Waschmaschinenanschluss sind ebenfalls im Paket. Ihnen stehen außerdem eine Einbauküche sowie ein Stellplatz für Ihr Auto und ein Kellerraum zur Verfügung. Die Wohnung verfügt in beiden Wohnebenen über bodentiefe Fenster mit sog. französischen Balkonen und Raffstores. Das gesamt Objekt wurde im KfW*55 Ausbaustand errichtet und wird über eine Erdwärmeheizung als Fußbodenheizung beheizt. Diese Konfiguration dürfte zu recht niedrigen Heizkosten führen (eine Vorab-Entwurf des Energieausweises liegt bei).","Die Süd/West-Ausrichtung der Wohnung bietet Sonnengenuß auch am späten Nachmittag und macht die Wohnung sehr hell und freundlich. Große Fenster in allen Ebenen. Eichenparkett, Fußbodenheizung, modernes Duschbad, bodentiefe Fenster, offene Treppe, große Räume, viel Sonnenlicht, Sprechanlage, Keller mit Waschmaschinenanschluss, Stellplatz, ruhige Lage.",,,2018.0,,,Oct19,861.112,6.0
159,Nordrhein_Westfalen,95.0,gas_heating,ONE_YEAR_FREE,,False,True,7,5.32,40.0,955.0,1928.0,107312387,,gas,True,Nordrhein_Westfalen,True,1.0,785.0,,81.0,Münster,well_kept,normal,no,no_information,,False,5,apartment,48145,3.0,138.3,3.0,4.0,3,False,4,Münster,Mauritz_Mitte,"Gelegen im Mauritzviertel, liegt diese gepflegte und helle Wohnung im zweiten Stock in einem ruhigen vier Familienhaus und kann zum 01.12.2018 bezogen werden. Die Wohnung ist mit Laminat versehen. Zahlreiche Einkaufsmöglichkeiten, Apotheken, ein Ärztehaus, Bushaltestellen (Nr.2 und 10) , Taxistand, Tankstelle und eine schnelle Anbindung an die Umgehungsstraße sind nur einige schöne Aspekte dieser einladenden Drei-Zimmerwohnung. Ein gemütlicher Südbalkon dient der Erholung. Eine Einbauküche sowie ein Kellerraum stehen Ihnen außerdem zur Verfügung. Parkplätze sind leicht zu finden. Fußläufig zum Kanal in ca. 10 Minuten. Mit dem Fahrrad ist die Innenstadt nur 15 Minuten entfernt. Wir begrüßen Nichtraucher und Paare","Kleine EBK, Laminat, Bad mit Badewanne und Fenster",75.0,,2016.0,90.76,0.1915,Sep18,871.8759,0.0
160,Nordrhein_Westfalen,120.0,central_heating,ONE_YEAR_FREE,,False,True,14,4.92,40.0,850.0,1991.0,113565119,,gas,False,Nordrhein_Westfalen,True,5.0,670.0,,54.0,Münster,well_kept,normal,,no_information,,False,5,roof_storey,48161,2.0,80.0,4.0,4.0,2,False,2,Münster,Gievenbeck,"amarc21 exklusiv! Zur Vermietung steht hier eine Vollmöblierte 2-Zimmer Dachgeschosswohnung mit 54m² im 4.Stock eines Mehrfamilienhauses. Kaltmiete € 670,- zzgl. NK € 120,- und € 60,- TG-Stellplatz, somit ergibt sich eine Warmmiete von insgesamt € 850,-. Die Wohnung verfügt über einen offenen Wohn-Essbereich mit teilweise abgetrennter Küche (siehe Fotos), Loggia, innen liegendes Badezimmer, einem hellen Schlafzimmer und einem Kellerabteil. Ein Aufzug ist nicht vorhanden. Die Wohnung wird vermietet an Nichtraucher. Haustiere wie Hund und Katze sind nicht erlaubt, Kleintiere auf Anfrage. Folgende Möbel werden mit vermietet: Einbauküche mit Bar-Theke Einbauschrank Flur Deckenlampen in allen Räumen Vorhangschiene mit Verdunklungsvorhang im Wohnzimmer Abschließbares Kellerabteil Badezimmermöblierung Designer Bett (1,60 x 2,00m) inkl. Nachttisch Designer Esstisch + Bestuhlung Kleiderständer Highboard 4 Barhocker Stehlampe Designer Couchtisch (bei Bedarf) Couchtisch (bei Bedarf) Bei Interesse stellen Sie bitte eine Anfrage über das Kontaktformular mit Angabe Ihrer vollständigen Adress- und Kontaktdaten. Telefonische Anfragen werden nicht bearbeitet.",,,C,,,,Oct19,581.2506,0.0
161,Nordrhein_Westfalen,203.0,,ONE_YEAR_FREE,,True,True,12,5.51,40.0,1261.0,2019.0,111057276,1.0,,False,Nordrhein_Westfalen,True,9.0,973.0,34,84.54,Münster,first_time_use,sophisticated,,Regina-Protmann-Stra&szlig;e,Regina-Protmann-Straße,True,6,apartment,48159,2.5,,1.0,3.0,2,False,4,Münster,Kinderhaus_Ost,"- Verteilt auf vierzehn Gebäude mit drei- und viergeschossiger Bauweise - 161 hochwertige und barrierearme Wohnungen in vier Bauabschnitten - klar strukturierte Grundrisse - 2,5- bis 4,5-Raum-Wohnungen variieren zwischen ca. 55 und 102 m² - Sowohl Singles als auch Paare aller Altersgruppen sowie Familien sind angesprochen - Energieeffiziente Bauweise nach KfW 55-Standard - Tiefgaragen- und/oder Außenstellplätze stehen zur Verfügung Bezugsfertig zum 01.10.2019 Auf Grund der vorzeitigen Fertigstellung liegt noch kein Energieausweis vor. Dieser wird jedoch kurzfristig nachgereicht. Kontaktieren Sie uns auch über den Messenger auf Ihrem Smartphone. Schreiben Sie uns die Objekt-ID „110057-28-M“ in WhatsApp an 0151 7277 7077, in Telegram an VivawestWohnen oder in Threema an *VVWCHAT.",Moderne und Stilvolle Ausstattung mit: - stufenlosem Zugang zu allen Wohnungen und Kellern durch einen Aufzug im Haus - hochwertigem Echtholzparkettfußboden in allen Wohn- und Schlafräumen - weiß gestrichenen Raufasertapeten in allen Räumen - großzügigen Terrassen- oder Balkonflächen - dreifach isolierverglasten Fenster - elektrischen Rollläden an allen Fensterflächen in der gesamten Wohnung - Videogegensprechanlage - überwiegend bodentiefen Fenster - regulierbarer Fußbodenheizung in allen Räumen - hochwertiger Sanitärausstattung mit ebenerdiger Dusche und/oder Badewanne - Waschmaschinenanschluss in jeder Wohnung - Separatem Kellerbereich,85.0,,,,,May19,909.980106,5.0
163,Nordrhein_Westfalen,275.0,self_contained_central_heating,ONE_YEAR_FREE,,True,True,16,4.51,40.0,2345.0,2019.0,113668162,2.0,gas,False,Nordrhein_Westfalen,True,9.0,2070.0,,138.0,Münster,first_time_use,luxury,negotiable,no_information,,False,9,maisonette,48147,3.0,33.6,2.0,2.0,3,False,6,Münster,Kreuzviertel,"Großzügig aufgeteilte und hochwertig ausgestattete Maisonettewohnung im 2. OG und Spitzboden in kernsaniertem Altbau mit Neubauanteil in Promenadennähe mitten im Kreuzviertel. Ein zentraler und großzügiger Dielenbereich mit offener Treppe in den Spitzboden erschließt beide Ebenen der lichtdurchfluteten Maisonettewohnung. Ein großzügiger Wohn- Essraum mit offenem Küchenbereich und Zugang zur großen Dachterrasse mit Blick auf die Kreuzkirche ist Mittelpunkt der Wohnung. Ein eleganter Gaskamin sorgt für Behaglichkeit. Auf dieser Ebene finden sich ebenso ein Schlafzimmer / Büro, ein HWR und ein Duschbad. Im eleganten Spitzboden bieten ein gemütliches Schlafzimmer mit Schrägen und ein großzügiges Masterbad mit Wanne und Dusche vollendeten Komfort.",Hochwertige Fliesen in den Bädern und in der Küche. Eichenparkett in den Wohnräumen und in der Diele. Fußbodenheizung. Außenbeschattung und Verdunklung durch Lamellenjalousien.,,A,2019.0,,,Oct19,1485.4181999999998,5.0
164,Nordrhein_Westfalen,400.0,central_heating,ONE_YEAR_FREE,10.0,False,False,29,4.47,2.4,1600.0,,115639707,,gas,True,Nordrhein_Westfalen,False,,1200.0,8,122.0,Münster,fully_renovated,sophisticated,no,Dieckmannstra&szlig;e,Dieckmannstraße,False,7,,48161,4.0,,1.0,,4,False,6,Münster,Gievenbeck,"Das Haus wurde in den 90ern erbaut und immer gut gepflegt. Die Wohnung wird renoviert übergeben. Im Komplex direkt vor der Tür befinden sich sämtliche Geschäfte für den täglichen Bedarf. ZB: Supermarkt, Bäcker, Pizzeria, Imbiss, Restaurant, Friseur, Apotheke, Ärzte, Bank, etc....","Durch die knietiefen sehr großen Panoramafenster ist die Wohnung sehr hell und freundlich. Die Wohnung ist mit Teppich, teils mit Laminat ausgelegt und wirkt dadurch sehr edel. Das Bad ist weiß gefliest.",,,2020.0,,,Feb20,1313.1958,2.0
165,Nordrhein_Westfalen,170.0,gas_heating,ONE_YEAR_FREE,,False,True,10,5.83,40.0,1010.0,2014.0,109660120,1.0,gas,True,Nordrhein_Westfalen,True,8.0,840.0,,70.04,Münster,refurbished,sophisticated,no,no_information,,False,6,apartment,48167,3.0,49.0,1.0,3.0,3,False,3,Münster,Gremmendorf_Ost,"Gepflegtes Objekt, 2014 komplett saniert (KfW Effizienzhaus 85) mit einer modernen Architektur","Wohnung in der 1. Etage mit einer schönen, großen Einbauküche im Wohn/Essbereich. Von dort aus gelangt man auf den Balkon, der zum Süden ausgerichtet ist. Die Wände sind mit Vliestapete tapeziert und wie die Decken weiß gestrichen. Auf den Böden befindet sich Vinyl bzw. Fliesen",,,2014.0,,,Feb20,753.9035560000001,4.0
167,Nordrhein_Westfalen,118.0,central_heating,ONE_YEAR_FREE,10.0,False,False,3,4.89,10.0,368.0,1990.0,113834547,,gas,False,Nordrhein_Westfalen,False,4.0,250.0,19,21.54,Münster,well_kept,normal,no,H&uuml;nenburg,Hünenburg,False,1,apartment,48165,1.0,223.9,1.0,3.0,1,False,1,Münster,Hiltrup_West,"Die im Jahr 1990 erbaute Wohnanlage besteht aus drei Mehrfamilienhäusern und umfasst 113 Wohneinheiten auf vier Etagen. In der Anlage steht Dir ein Gemeinschaftswaschraum mit Waschmaschinen und Trockner sowie ein Fahrradraum zur Verfügung. Die Nebenkosten verstehen sich zuzüglich einer Stromkostenpauschale in Höhe von 27,00 € pro Monat. In dem Objekt besteht ein Multimedia-Anschluss durch die Unitymedia, welcher Dir mehr als 80 digitale TV-Sender und Highspeedinternet von bis zu 120 Mbit/s Download und 6 Mbit/s Upload ermöglicht. Für Dich besteht die Möglichkeit direkt am Haus einen Stellplatz anzumieten.","In der 1-Zimmer-Wohnung steht für Dich ein Wohn- und Schlafbereich sowie ein Badezimmer mit Waschtisch, WC und Dusche zur Verfügung. Die Pantryküche ist im Wohnbereich integriert. Zudem bietet der Flur mit einem Einbauschrank eine weitere Verstauungsmöglichkeit.",,G,,,,Oct19,231.854406,0.0
